Format,2.0A,
Memory Length,5000,
Trigger Level,0.00V,
Source,CH1,
Label,ACK,
Probe Ratio,1.000E+00,
Vertical Units,V,
Vertical Scale,5.000E-01,
Vertical Position,5.800E-01,
Horizontal Units,S,
Horizontal Scale,2.000E-01,
Horizontal Position,0.000E+00,
Horizontal Mode,Roll Mode,
Sampling Period,4.000E-04,
Firmware,V1.21,
Time,07-Mar-23 20:09:59,
Mode,Detail,
Waveform Data,
-1.000000e+00,4.20e-01,
-9.996000e-01,4.60e-01,
-9.992000e-01,4.20e-01,
-9.988000e-01,4.60e-01,
-9.984000e-01,4.60e-01,
-9.980000e-01,4.40e-01,
-9.976000e-01,4.60e-01,
-9.972000e-01,4.40e-01,
-9.968000e-01,4.80e-01,
-9.964000e-01,4.80e-01,
-9.960000e-01,4.40e-01,
-9.956000e-01,4.80e-01,
-9.952000e-01,4.40e-01,
-9.948000e-01,4.80e-01,
-9.944000e-01,4.40e-01,
-9.940000e-01,4.80e-01,
-9.936000e-01,4.40e-01,
-9.932000e-01,4.80e-01,
-9.928000e-01,4.40e-01,
-9.924000e-01,4.80e-01,
-9.920000e-01,4.60e-01,
-9.916000e-01,4.80e-01,
-9.912000e-01,4.80e-01,
-9.908000e-01,4.40e-01,
-9.904000e-01,4.80e-01,
-9.900000e-01,4.60e-01,
-9.896000e-01,4.80e-01,
-9.892000e-01,4.60e-01,
-9.888000e-01,4.80e-01,
-9.884000e-01,4.60e-01,
-9.880000e-01,4.80e-01,
-9.876000e-01,4.40e-01,
-9.872000e-01,4.80e-01,
-9.868000e-01,4.40e-01,
-9.864000e-01,4.80e-01,
-9.860000e-01,4.80e-01,
-9.856000e-01,4.40e-01,
-9.852000e-01,4.80e-01,
-9.848000e-01,4.40e-01,
-9.844000e-01,4.80e-01,
-9.840000e-01,4.40e-01,
-9.836000e-01,4.80e-01,
-9.832000e-01,4.80e-01,
-9.828000e-01,4.40e-01,
-9.824000e-01,4.80e-01,
-9.820000e-01,4.40e-01,
-9.816000e-01,4.60e-01,
-9.812000e-01,4.40e-01,
-9.808000e-01,4.60e-01,
-9.804000e-01,4.60e-01,
-9.800000e-01,4.20e-01,
-9.796000e-01,4.60e-01,
-9.792000e-01,4.20e-01,
-9.788000e-01,4.40e-01,
-9.784000e-01,4.40e-01,
-9.780000e-01,4.00e-01,
-9.776000e-01,4.40e-01,
-9.772000e-01,4.00e-01,
-9.768000e-01,4.20e-01,
-9.764000e-01,4.00e-01,
-9.760000e-01,4.20e-01,
-9.756000e-01,3.80e-01,
-9.752000e-01,4.00e-01,
-9.748000e-01,3.60e-01,
-9.744000e-01,4.00e-01,
-9.740000e-01,4.00e-01,
-9.736000e-01,3.60e-01,
-9.732000e-01,3.80e-01,
-9.728000e-01,3.40e-01,
-9.724000e-01,3.80e-01,
-9.720000e-01,3.40e-01,
-9.716000e-01,3.60e-01,
-9.712000e-01,3.20e-01,
-9.708000e-01,3.40e-01,
-9.704000e-01,3.20e-01,
-9.700000e-01,3.40e-01,
-9.696000e-01,3.00e-01,
-9.692000e-01,3.20e-01,
-9.688000e-01,3.00e-01,
-9.684000e-01,3.20e-01,
-9.680000e-01,3.00e-01,
-9.676000e-01,2.80e-01,
-9.672000e-01,3.00e-01,
-9.668000e-01,2.60e-01,
-9.664000e-01,2.80e-01,
-9.660000e-01,2.80e-01,
-9.656000e-01,2.40e-01,
-9.652000e-01,2.60e-01,
-9.648000e-01,2.20e-01,
-9.644000e-01,2.60e-01,
-9.640000e-01,2.20e-01,
-9.636000e-01,2.40e-01,
-9.632000e-01,2.00e-01,
-9.628000e-01,2.20e-01,
-9.624000e-01,2.00e-01,
-9.620000e-01,2.20e-01,
-9.616000e-01,1.80e-01,
-9.612000e-01,2.00e-01,
-9.608000e-01,2.00e-01,
-9.604000e-01,1.60e-01,
-9.600000e-01,1.80e-01,
-9.596000e-01,1.60e-01,
-9.592000e-01,1.80e-01,
-9.588000e-01,1.80e-01,
-9.584000e-01,1.40e-01,
-9.580000e-01,1.60e-01,
-9.576000e-01,1.20e-01,
-9.572000e-01,1.40e-01,
-9.568000e-01,1.00e-01,
-9.564000e-01,1.20e-01,
-9.560000e-01,1.00e-01,
-9.556000e-01,1.20e-01,
-9.552000e-01,8.00e-02,
-9.548000e-01,1.20e-01,
-9.544000e-01,8.00e-02,
-9.540000e-01,1.00e-01,
-9.536000e-01,6.00e-02,
-9.532000e-01,1.00e-01,
-9.528000e-01,6.00e-02,
-9.524000e-01,8.00e-02,
-9.520000e-01,4.00e-02,
-9.516000e-01,8.00e-02,
-9.512000e-01,4.00e-02,
-9.508000e-01,6.00e-02,
-9.504000e-01,4.00e-02,
-9.500000e-01,6.00e-02,
-9.496000e-01,2.00e-02,
-9.492000e-01,4.00e-02,
-9.488000e-01,2.00e-02,
-9.484000e-01,4.00e-02,
-9.480000e-01,2.00e-02,
-9.476000e-01,4.00e-02,
-9.472000e-01,2.00e-02,
-9.468000e-01,4.00e-02,
-9.464000e-01,4.00e-02,
-9.460000e-01,0.00e+00,
-9.456000e-01,4.00e-02,
-9.452000e-01,0.00e+00,
-9.448000e-01,4.00e-02,
-9.444000e-01,0.00e+00,
-9.440000e-01,4.00e-02,
-9.436000e-01,4.00e-02,
-9.432000e-01,0.00e+00,
-9.428000e-01,4.00e-02,
-9.424000e-01,0.00e+00,
-9.420000e-01,4.00e-02,
-9.416000e-01,0.00e+00,
-9.412000e-01,4.00e-02,
-9.408000e-01,0.00e+00,
-9.404000e-01,4.00e-02,
-9.400000e-01,2.00e-02,
-9.396000e-01,4.00e-02,
-9.392000e-01,2.00e-02,
-9.388000e-01,4.00e-02,
